player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_broken_tackles_per_rec,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating,rush_att,rush_yds,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,awards
JoneZa00,Zay Jones,WR,2018,23,BUF,NFL,WR,16,15,102,56,652,33,510,9.1,142,2.5,12.0,1,56.0,3,2.9,5,76.9,1,0,0,-2,-2.0,2,2.0,0,
JoneZa00,Zay Jones,WR,2019,24,2TM,NFL,WR,15,9,45,27,216,10,139,5.1,77,2.9,9.9,0,,1,2.2,2,53.6,1,3,0,3,3.0,0,0.0,0,
JoneZa00,Zay Jones,WR,2019,24,BUF,NFL,WR,5,2,18,7,69,4,50,7.1,19,2.7,11.8,0,,1,5.6,2,10.9,0,0,0,0,,0,,0,
JoneZa00,Zay Jones,WR,2019,24,OAK,NFL,WR,10,7,27,20,147,6,89,4.5,58,2.9,8.7,0,,0,0.0,0,86.5,1,3,0,3,3.0,0,0.0,0,
JoneZa00,Zay Jones,WR,2020,25,LVR,NFL,WR,16,2,20,14,154,6,89,6.4,65,4.6,7.1,2,7.0,2,10.0,1,88.3,0,0,0,0,,0,,0,
JoneZa00,Zay Jones,WR,2021,26,LVR,NFL,WR,17,9,70,47,546,29,376,8.0,170,3.6,14.0,3,15.7,2,2.9,5,65.5,2,3,0,3,1.5,0,0.0,0,
JoneZa00,Zay Jones,WR,2022,27,JAX,NFL,WR,16,15,121,82,823,44,541,6.6,282,3.4,8.6,2,41.0,13,10.7,2,93.8,4,18,1,16,4.0,2,0.5,0,
JoneZa00,Zay Jones,WR,2023,28,JAX,NFL,WR,9,7,64,34,321,14,270,7.9,51,1.5,13.6,0,,1,1.6,2,64.6,0,0,0,0,,0,,0,
JoneZa00,Zay Jones,WR,2024,29,ARI,NFL,WR,11,2,11,8,84,5,65,8.1,19,2.4,8.6,0,,0,0.0,1,56.6,0,0,0,0,,0,,0,
JoneZa00,Zay Jones,WR,2025,30,ARI,NFL,WR,7,0,17,12,183,7,147,12.3,36,3.0,14.0,0,,0,0.0,1,81.2,0,0,0,0,,0,,0,
