player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_broken_tackles_per_rec,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating,rush_att,rush_yds,rush_first_down,rush_yds_before_contact,rush_yds_bc_per_rush,rush_yac,rush_yac_per_rush,rush_broken_tackles,rush_broken_tackles_per_rush,awards
LockTy00,Tyler Lockett,WR,2018,26,SEA,NFL,WR,16,14,70,57,965,37,752,13.2,213,3.7,13.6,0,,0,0.0,0,158.3,13,69,3,50,3.8,19,1.5,1,13.0,
LockTy00,Tyler Lockett,WR,2019,27,SEA,NFL,WR,16,16,110,82,1057,53,749,9.1,308,3.8,12.4,0,,2,1.8,1,124.7,4,-5,0,-5,-1.3,0,0.0,0,,
LockTy00,Tyler Lockett,WR,2020,28,SEA,NFL,WR,16,16,132,100,1054,57,727,7.3,327,3.3,9.7,2,50.0,8,6.1,1,120.6,0,0,0,0,,0,,0,,
LockTy00,Tyler Lockett,WR,2021,29,SEA,NFL,WR,16,16,107,73,1175,41,898,12.3,277,3.8,14.6,2,36.5,0,0.0,3,117.9,2,9,0,9,4.5,0,0.0,0,,
LockTy00,Tyler Lockett,WR,2022,30,SEA,NFL,WR,16,16,117,84,1033,50,759,9.0,274,3.3,10.6,1,84.0,2,1.7,5,106.5,0,0,0,0,,0,,0,,
LockTy00,Tyler Lockett,WR,2023,31,SEA,NFL,WR,17,17,122,79,894,47,684,8.7,210,2.7,10.8,1,79.0,5,4.1,4,86.6,0,0,0,0,,0,,0,,
LockTy00,Tyler Lockett,WR,2024,32,SEA,NFL,WR,17,14,74,49,600,36,466,9.5,134,2.7,10.7,1,49.0,4,5.4,4,77.5,0,0,0,0,,0,,0,,
LockTy00,Tyler Lockett,WR,2025,33,2TM,NFL,WR,9,1,28,15,114,5,66,4.4,48,3.2,6.6,0,,1,3.6,0,63.7,0,0,0,0,,0,,0,,
LockTy00,Tyler Lockett,WR,2025,33,TEN,NFL,WR,7,1,21,10,70,3,42,4.2,28,2.8,7.3,0,,1,4.8,0,55.7,0,0,0,0,,0,,0,,
LockTy00,Tyler Lockett,WR,2025,33,LVR,NFL,WR,2,0,7,5,44,2,24,4.8,20,4.0,4.4,0,,0,0.0,0,87.8,0,0,0,0,,0,,0,,
