player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
WatsBe00,Ben Watson,TE,2005,25,NWE,NFL,TE,2,2,11,5,91,18.2,1,4,36.4,63,2.5,45.5,45.5,8.3,0,0,0,0,0.0,0.0,5,18.2,91,1,1,
WatsBe00,Ben Watson,TE,2006,26,NWE,NFL,TE,3,2,19,10,81,8.1,0,3,31.6,19,3.3,27.0,52.6,4.3,0,0,0,0,0.0,0.0,10,8.1,81,0,0,
WatsBe00,Ben Watson,TE,2007,27,NWE,NFL,TE,3,3,6,3,20,6.7,2,2,33.3,9,1.0,6.7,50.0,3.3,0,0,0,0,0.0,0.0,3,6.7,20,2,0,
WatsBe00,Ben Watson,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WatsBe00,Ben Watson,TE,2009,29,NWE,NFL,TE,1,0,4,1,3,3.0,0,0,0.0,3,1.0,3.0,25.0,0.8,0,0,0,0,0.0,0.0,1,3.0,3,0,0,
WatsBe00,Ben Watson,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WatsBe00,Ben Watson,TE,2013,33,NOR,NFL,TE,2,2,3,2,27,13.5,0,1,33.3,27,1.0,13.5,66.7,9.0,0,0,0,0,0.0,0.0,2,13.5,27,0,0,
WatsBe00,Ben Watson,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WatsBe00,Ben Watson,TE,2018,38,NOR,NFL,TE,1,0,1,1,12,12.0,0,1,100.0,12,1.0,12.0,100.0,12.0,0,0,0,0,0.0,0.0,1,12.0,12,0,0,
WatsBe00,Ben Watson,TE,2019,39,NWE,NFL,TE,1,0,4,3,38,12.7,0,3,75.0,21,3.0,38.0,75.0,9.5,0,0,0,0,0.0,0.0,3,12.7,38,0,0,
